title,year,runtime,votes,rating,genre
Damon's Revenge,2022,89,1876,2.8,Action
Dampyr,2022,109,2964,5.3,Fantasy
Dance with the Jackals 6,2022,116,5509,5.2,Action
Dancer in Danger,2022,83,121,5.5,Thriller
Dancing Pina,2022,111,142,7.5,Documentary
Dancing on Glass,2022,137,1084,5.7,Drama
Dandi,2022,128,116,7.5,Drama
Dane Cook: Above it All,2022,58,134,4.9,Comedy
Dangerous,2022,99,1738,5.4,Action
Dangerous Game: The Legacy Murders,2022,96,3051,4.5,Horror
Dangerous Liaisons,2022,109,2467,4.2,Drama
Dangerous Men,2022,110,878,6,Comedy
Daniel's Gotta Die,2022,91,107,5.6,Comedy
Dante,2022,94,485,5.7,Biography
Darby and the Dead,2022,100,1670,5.6,Comedy
Darja,2022,130,1979,6.5,Action
Dark Cloud,2022,81,4606,3.7,Horror
Dark Glasses,2022,86,4712,5.1,Horror
Dark Nature,2022,85,1359,4.4,Horror
Dark Night of the Scarecrow 2,2022,85,233,3.3,Horror
Dark Satellites,2022,120,157,6.4,Drama
Darkling,2022,104,1099,6.7,Drama
Darlings,2022,133,22267,6.6,Comedy
Dasvi,2022,125,62158,7.4,Comedy
Daughter,2022,95,371,4.8,Drama
Daughter of Rage,2022,91,218,6.3,Drama
Dave Stevens: Drawn to Perfection,2022,99,127,8.1,Documentary
David Beckham: Infamous,2022,69,190,5.1,Biography
Dawn,2022,77,115,4.7,Horror
Day Shift,2022,113,94232,6.1,Action
Day Zero,2022,82,557,4.8,Action
Day by Day,2022,110,1299,6.4,Comedy
Day of Disappearance,2022,114,209,4.6,Horror
Days of Daisy,2022,96,225,4.7,Comedy
De Dhakka 2,2022,121,440,5.6,Comedy
De allergrootste slijmfilm,2022,81,111,4.8,Adventure
De openbaring,2022,96,147,5.4,Horror
Dead Bride,2022,83,301,3.5,Horror
Dead Zone,2022,83,833,3.6,Action
Dead by Midnight (Y2Kill),2022,96,151,3.8,Horror
Dead for a Dollar,2022,107,7087,5.4,Action
Deadly Cheers,2022,86,115,4.9,Thriller
Deadly Garage Sale,2022,88,248,5.6,Thriller
Deadly Love Poetry,2022,101,164,4.7,Horror
Deadly Trio,2022,90,368,2.1,Drama
Deadstream,2022,87,20225,6.4,Comedy
Dealing with Dad,2022,106,152,6.3,Drama
Dear Father,2022,137,877,7.6,Comedy
Dear Friend,2022,118,1191,5.9,Comedy
Dear Nathan: Thank You Salma,2022,112,218,7,Drama
Dear Zoe,2022,94,1682,5.8,Drama
Death Camp,2022,90,197,2.8,Horror
Death Cast,2022,77,214,2.9,Horror
Death Count,2022,81,2770,4.5,Horror
Death Hunt,2022,92,631,3.7,Action
Death on the Nile,2022,127,198945,6.3,Crime
Deborah,2022,88,570,4.7,Comedy
December,2022,99,123,6.4,Drama
Decibel,2022,110,1964,6.1,Action
Decision to Leave,2022,139,60829,7.3,Crime
Deck of Cards,2022,45,286,9.2,Action
Declaration,2022,107,4858,6.4,Drama
Decline,2022,86,114,4.2,Horror
Deconstructing Karen,2022,75,509,3.5,Documentary
Deep Fear,2022,80,932,5.1,Horror
Deep Hatred,2022,74,1555,4.4,Horror
Deep Sea Mutant Snake,2022,80,174,4.3,Action
Deep Water,2022,115,63572,5.5,Crime
Deep Woods,2022,93,191,4.1,Thriller
Deep in It,2022,98,202,2.2,Action
Deep in the Heart: A Texas Wildlife Story,2022,101,250,7.6,Documentary
Deer Camp '86,2022,85,1011,5.5,Comedy
Deinfluencer,2022,91,1597,3.9,Horror
Deja Vu,2022,117,1571,6.6,Mystery
Deleter,2022,93,565,5.2,Drama
Delia's Gone,2022,90,589,5,Adventure
Deliverance,2022,106,304,5.3,Crime
Delivery by Christmas,2022,97,1051,5.6,Comedy
Delta,2022,105,364,5.6,Crime
Delusional,2022,113,169,3.8,Thriller
Demigod: The Legend Begins,2022,103,121,6.4,Action
Demons at Dawn,2022,80,388,2.7,Horror
Depp VS Heard: The Verdict,2022,44,259,4.9,Documentary
Der Kaiser,2022,105,309,5.7,Biography
Descendant,2022,109,1495,7.1,Documentary
Desconectados,2022,106,268,4.6,Comedy
Desert Shadows,2022,94,216,3.8,Horror
"Desperate Souls, Dark City and the Legend of Midnight Cowboy",2022,101,308,7,Documentary
Desperate for Marriage,2022,106,262,5.7,Comedy
Detective Conan: The Bride of Halloween,2022,111,1962,6.8,Action
Detective Knight: Redemption,2022,97,1895,4,Action
Detective Knight: Rogue,2022,105,2285,3.8,Action
Detective vs. Sleuths,2022,101,1587,6.2,Action
Detektyw Bruno,2022,108,115,5.3,Comedy
Deus,2022,90,2403,4.4,Adventure
Devil in the Lake,2022,111,220,4.7,Horror
Devil's Workshop,2022,86,1887,3.9,Drama
Devotion,2022,139,30160,6.6,Action
Deyyamtho Sahajeevanam,2022,120,1054,7.2,Horror
Dhaakad,2022,135,12187,3.8,Action
Dhagad Saamba,2022,132,2113,7.8,Action
Dhamaka,2022,144,5436,6.2,Action
Dhamaka,2022,119,571,9.1,Comedy
Dharani Mandala Madhyadolage,2022,149,1161,6.3,Drama
Dharmajuddha,2022,120,1337,6.8,Drama
Dharmaveer,2022,176,2192,7.9,Biography
Dhokha,2022,122,12440,6.2,Crime
Diabolik: Ginko Attacks,2022,116,1342,5.4,Action
Diamond Hands: The Legend of WallStreetBets,2022,89,104,4.7,Documentary
Diamond in the Rough,2022,88,246,4.6,Comedy
Diary,2022,133,2511,7.2,Crime
Diary of a Fleeting Affair,2022,100,2098,6.8,Comedy
Diary of a Spy,2022,99,1051,4.7,Drama
Diary of a Wimpy Kid: Rodrick Rules,2022,74,1831,5.1,Animation
Die Geschichte der Menschheit - leicht gekürzt,2022,96,1034,4.5,Comedy
Die Hard Fan,2022,131,2050,7.5,Comedy
Die Mucklas ... und wie sie zu Pettersson und Findus kamen,2022,81,211,4,Adventure
Died Suddenly,2022,69,2160,6.7,Documentary
Dig,2022,90,1171,4.4,Thriller
Dil Pasand,2022,153,100,6,Comedy
Dilberay,2022,130,1251,6,Biography
Dinosaur Hotel 2,2022,80,190,2.8,Action
Dio: Dreamers Never Die,2022,127,1608,8.4,Biography
Diorama,2022,99,593,5.5,Comedy
Director,2022,121,917,8.1,Drama
Director by Night,2022,54,536,6.9,Documentary
Dirty Games,2022,87,780,3,Romance
"Dirty, Difficult, Dangerous",2022,83,109,6.2,Drama
Disappear Completely,2022,100,1825,6.2,Horror
Disconnect: The Wedding Planner,2022,106,216,4,Comedy
Discontinued,2022,91,543,5.4,Comedy
Disenchanted,2022,119,28032,5.6,Adventure
Disobedient,2022,110,358,5.5,Comedy
Ditto,2022,114,953,6.8,Drama
Dive,2022,95,2418,6.9,Drama
Divertimento,2022,110,539,6.9,Biography
Divljaci,2022,94,143,5.4,Action
Divorce,2022,90,115,5.7,Comedy
Divorce Bait,2022,93,333,4.4,Comedy
Djinn,2022,123,294,6,Comedy
Do Not Disturb,2022,92,472,6.3,Drama
Do Revenge,2022,118,53678,6.3,Comedy
DoUtDes,2022,91,164,4.1,Romance
Dobaaraa,2022,132,21255,4.9,Drama
Doblado,2022,102,200,5.4,Drama
Doblemente Embarazada 2,2022,99,114,4.6,Comedy
Dobro pozhalovat v semyu,2022,120,143,6.4,Comedy
Doctor G,2022,124,19025,6.6,Comedy
Doctor Strange in the Multiverse of Madness,2022,126,507207,6.9,Action
Doctor Who Am I,2022,81,194,6.2,Documentary
Doda,2022,135,107,4.8,Action
Dodo,2022,132,409,5.3,Comedy
Dog,2022,101,48983,6.5,Comedy
Dogborn,2022,84,313,5.7,Drama
Doktor,2022,120,133,6.8,Drama
Doll House,2022,107,534,6.3,Drama
Doll Shark,2022,77,142,3.7,Comedy
Dollu,2022,106,2285,7.3,Drama
Dolphin Boy,2022,85,821,5.1,Adventure
Domingo and the Mist,2022,86,145,5.8,Drama
Don,2022,165,11486,6.8,Comedy
Don Juan,2022,100,323,4.6,Comedy
Don't Blame Karma!,2022,85,948,4.7,Comedy
Don't Bury Me Without Ivan,2022,125,143,7.1,Drama
Don't Fuck in the Woods 2,2022,87,591,3.7,Horror
Don't Leave,2022,107,2003,5.2,Drama
Don't Look at the Demon,2022,95,930,5.1,Horror
Don't Make Me Go,2022,109,3933,6.7,Drama
Don't Worry Darling,2022,123,162005,6.3,Drama
Donadona,2022,80,868,6.5,Drama
Dongalunnaru Jagratta,2022,96,275,5.1,Thriller
Donkeyhead,2022,106,350,6.1,Drama
Doom of Love,2022,100,2633,4.9,Drama
Door Mouse,2022,101,663,5.5,Drama
Dopolnitelnyy urok,2022,97,105,5.3,Drama
Doraemon the Movie: Nobita's Little Star Wars 2021,2022,108,765,6.5,Action
Dos estaciones,2022,99,344,6.2,Drama
Dotty & Soul,2022,88,107,6.9,Comedy
Double Down South,2022,123,592,6.1,Drama
Double Threat,2022,92,1457,4.7,Action
Double XL,2022,128,4571,4.6,Comedy
Doula,2022,105,298,4.3,Comedy
Dounia and the Princess of Aleppo,2022,72,195,6.9,Animation
Downfall: The Case Against Boeing,2022,89,14096,7.4,Documentary
Downton Abbey: A New Era,2022,124,34200,7.4,Drama
Dr. 56,2022,105,2471,6.9,Crime
Dr. Jason,2022,48,509,4.4,Action
Dracula: The Original Living Vampire,2022,86,664,2.8,Horror
Dragon Ball Super: Super Hero,2022,100,16641,7.1,Action
Dragon Knight,2022,98,2256,3.3,Fantasy
Dragon: The Weapon of God,2022,106,308,1.5,Action
Dragonflies,2022,103,170,5.4,Drama
Drawn Into the Night,2022,67,127,3.5,Thriller
Dreaded Light,2022,126,104,5.6,Horror
Dream Boy,2022,141,1555,6.7,Comedy
Dreamin' Wild,2022,111,1449,6.4,Biography
Dreaming Walls: Inside the Chelsea Hotel,2022,77,450,6.1,Documentary
Dreamland: A Storming Area 51 Story,2022,85,193,3.2,Documentary
Drifting Home,2022,119,4833,6.3,Adventure
Drishyam 2,2022,140,47962,8.2,Crime
Drive Me Crazy,2022,73,689,5.6,Comedy
Driven,2022,95,172,4.8,Thriller
Driver Jamuna,2022,104,889,5.5,Crime
Driving Madeleine,2022,91,3093,7.2,Comedy
Driving Mum,2022,112,501,6.9,Comedy
Dry,2022,97,2291,6.2,Comedy
Dry Ground Burning,2022,153,339,6.6,Crime
Dsp,2022,144,1228,3.6,Action
Dual,2022,94,13845,5.8,Comedy
Ducobu 4 President,2022,86,221,3.8,Comedy
Dui Diner Duniya,2022,85,740,7.2,Mystery
Dum Mastam,2022,155,393,4.8,Drama
Duran Duran: A Hollywood High,2022,72,148,7.5,Documentary
E.M.I,2022,123,564,7.8,Drama
EAMI,2022,81,186,6,Drama
EO,2022,88,15826,6.7,Drama
Easter Bunny Massacre: The Bloody Trail,2022,76,189,3,Horror
Easter Sunday,2022,96,2839,5.3,Comedy
Easy Tiger,2022,60,122,5.1,Drama
Eating Miss Campbell,2022,84,558,4.5,Comedy
Echoes of a Crime,2022,84,701,4.9,Mystery
Educazione fisica,2022,88,277,5.7,Drama
Eesho,2022,107,1942,6.1,Thriller
Eflatun,2022,103,6015,8.1,Drama
Egoist,2022,120,821,7.1,Drama
Együtt kezdtük,2022,101,1082,6.4,Comedy
Eiga Odd Taxi: In the Woods,2022,128,243,6.1,Animation
"Eike, Tudo ou Nada",2022,110,512,6.1,Biography
Einfach mal was Schönes,2022,116,782,6.4,Comedy
Eismayer,2022,87,2398,7,Biography
Ek Love Ya,2022,151,1537,5.6,Action
Ek Number,2022,127,104,7.3,Comedy
Ek Villain Returns,2022,129,15991,4.4,Action
Ekda Kaay Zala,2022,130,247,8.3,Drama
El Houb - The Love,2022,102,591,7,Drama
El Test,2022,105,1164,5.9,Comedy
El crítico,2022,80,355,6.4,Documentary
El gerente,2022,105,1027,6.7,Comedy
El mundo es vuestro,2022,110,275,4.8,Comedy
El vasco,2022,100,158,5.4,Comedy
Ela Veezha Poonchira,2022,104,2711,7.3,Crime
Ela with Hilmi and Ali,2022,102,538,5.5,Drama
Elastiko. Dvenadtsatyy igrok,2022,80,127,6.6,Crime
Elephant,2022,94,825,6.7,Drama
Elesin Oba: The King's Horseman,2022,96,458,4.4,Adventure
Elevent Silent Men,2022,121,160,5.2,Drama
Elik & Jimmy,2022,93,131,6.3,Drama
Elis and Tom,2022,100,448,7.8,Documentary
Elizabeth Windsor,2022,90,157,6.7,Documentary
Elizabeth: A Portrait in Part(s),2022,89,677,5.9,Biography
Elizabeth: The Unseen Queen,2022,76,306,7.5,Biography
Ellam Settanu,2022,126,127,8,Comedy
Eloïse's Journey,2022,100,385,6,Comedy
Elvis,2022,159,248292,7.3,Biography
Em Va Trinh,2022,136,214,6.2,Drama
Emancipation,2022,132,29057,6.3,Action
Embrace the Panda: Making Turning Red,2022,46,553,6.8,Documentary
Emergency,2022,105,10259,6.2,Comedy
Emergency Situation,2022,103,441,6.1,Comedy
Emily,2022,130,9106,6.8,Biography
Emily the Criminal,2022,97,62934,6.7,Crime
Empire of Light,2022,115,25832,6.7,Drama
Employee of the Month,2022,78,239,5.8,Comedy
En la mira,2022,85,391,5.4,Thriller
En même temps,2022,108,573,5.6,Comedy
En otro lugar,2022,88,122,5.8,Comedy
En plein feu,2022,85,273,5.3,Drama
En temporada baja,2022,96,110,4.9,Comedy
Encanto Sing-Along,2022,102,189,7.2,Animation
End of the Road,2022,89,9295,4.8,Action
End to End,2022,101,244,7.5,Documentary
Endangered,2022,90,432,6.6,Documentary
Enjoy,2022,140,592,6.3,Romance
Enna Solla Pogirai,2022,146,2902,4.6,Drama
Enola Holmes 2,2022,129,108377,6.8,Action
Entergalactic,2022,93,17469,7.3,Animation
Entropy,2022,80,244,2.3,Drama
Enys Men,2022,96,3955,5.6,Fantasy
Epic Tails,2022,95,1000,5.8,Adventure
Episodes from Apocalypse,2022,85,131,5,Action
Eradication,2022,87,910,4.2,Horror
Eraser: Reborn,2022,102,2711,4.6,Action
Erik Stoneheart,2022,105,172,6.1,Adventure
Erin's Guide to Kissing Girls,2022,90,229,5,Comedy
Ernest and Celestine: A Trip to Gibberitia,2022,80,889,7,Adventure
Erzulie,2022,86,232,4.3,Adventure
Escape,2022,102,113,5.2,Drama
Escape Room: La pel·lícula,2022,92,565,6.1,Comedy
Escape Through Africa,2022,90,270,4.2,Adventure
Escape from Kabul,2022,73,1259,7.6,Documentary
Escape the Field,2022,89,5066,4.4,Horror
Escaping Paradise,2022,91,731,4.3,Action
Escola Base - Um Repórter Enfrenta o Passado,2022,106,111,7.7,Documentary
"Esme, My Love",2022,105,119,4,Drama
Esthers orkester,2022,93,216,5.3,Comedy
Eternal Spring,2022,86,1732,7,Animation
Etharkkum Thunindhavan,2022,151,13767,6.4,Action
Even If This Love Disappears from the World Tonight,2022,121,1144,7.2,Drama
Even Pigs Go to Heaven,2022,86,330,6.4,Comedy
Every Day in Kaimuki,2022,81,108,5.5,Drama
Everybody Hates Johan,2022,93,2164,6.8,Comedy
Everybody Loves Jeanne,2022,97,2252,6.4,Comedy
Everyone Knows Better,2022,120,142,4.4,Comedy
Everything Everywhere All at Once,2022,139,571116,7.8,Action
Everything I Am,2022,88,102,6.5,Drama
Everything in Between,2022,90,125,6.8,Drama
Evicted: A Modern Romance,2022,108,409,6.4,Comedy
Evil Eye,2022,100,1681,5.6,Horror
Evil Tapes,2022,74,156,3,Horror
Evil at the Door,2022,82,249,2.5,Horror
Excess Will Save Us,2022,100,121,5.6,Comedy
Exhibit #8,2022,76,116,5.3,Horror
Exhibition on Screen: Hopper - An American Love Story,2022,94,149,7.3,Biography
Exist Within,2022,106,110,4.7,Thriller
Exorcist Vengeance,2022,87,279,2.9,Horror
Expensive Candy,2022,104,714,5.9,Drama
Expired,2022,102,925,3.6,Action
Exploited,2022,81,1237,4.3,Horror
Explorer,2022,140,286,6.6,Documentary
Explorer: The Last Tepui,2022,55,1368,6.9,Documentary
Express,2022,80,195,6.2,Comedy
Extramundane,2022,94,121,4.9,Horror
Extremely Easy Job,2022,113,100,5.3,Comedy
Eye for an Eye,2022,77,745,6.6,Action
Eyes on Fire,2022,106,571,4.9,Drama
F*ck Love Too,2022,92,1455,3.9,Comedy
F3: Fun and Frustration,2022,148,2517,4.7,Comedy
FCK 2020 - 2 and Half Years with Scooter,2022,113,357,6.9,Documentary
Faces of Anne,2022,116,605,5.8,Horror
Facing Nolan,2022,102,1948,7.9,Biography
Fadel & Neama,2022,105,653,5.1,Comedy
Fading Petals,2022,93,297,6,Drama
Fair Play,2022,95,137,6.5,Documentary
Fairytale,2022,78,694,6.6,Animation
Faithful,2022,97,194,5,Drama
Faithfully Yours,2022,95,7041,5.8,Thriller
Fakt Mahilao Maate,2022,137,968,7.6,Comedy
Falcon Lake,2022,100,3408,7,Drama
Fall,2022,107,119045,6.4,Action
Fallen,2022,84,267,2.2,Horror
Falling for Christmas,2022,93,31971,5.3,Comedy
Family Affairs,2022,87,1968,6.1,Comedy
Family Camp,2022,111,2955,4.9,Comedy
Family Dinner,2022,97,1530,5.7,Drama
Family Game,2022,105,425,6.6,Crime
Family Pack,2022,110,694,5.6,Comedy
Family Squares,2022,95,302,5.5,Comedy
Fang,2022,98,520,5,Drama
Fantastic Beasts: The Secrets of Dumbledore,2022,142,181919,6.2,Adventure
Fantasy,2022,99,231,5.3,Drama
Fantasy Football,2022,98,701,5.9,Action
Fantasy World,2022,109,127,6.1,Drama
Faraaz,2022,112,1986,5,Action
Farah,2022,119,1196,6.7,Drama
Fashion Reimagined,2022,100,151,7.2,Documentary
Fast & Feel Love,2022,132,1494,6.8,Action
Father & Soldier,2022,98,1548,5.9,Action
Father & Son,2022,76,403,6.1,Drama
Father Stu,2022,124,33459,6.5,Biography
Father There Is Only One 3,2022,99,1257,5.3,Comedy
Father of Nations,2022,135,110,5.3,Drama
Father of the Bride,2022,117,13927,5.9,Comedy
Father's Last Wish,2022,91,204,7.2,Comedy
Fathers and Mothers,2022,97,1219,5.8,Comedy
Fearless Love,2022,122,314,4.1,Comedy
Feast,2022,104,117,4.7,Crime
Feed,2022,104,8396,4.8,Horror
Feed Me,2022,96,1034,4.6,Comedy
Feeling It,2022,120,361,7,Documentary
Fenced In,2022,110,743,4.5,Comedy
Fiddler's Journey to the Big Screen,2022,88,176,7.7,Documentary
Field Post,2022,96,187,5,War
Fierce Cop,2022,87,123,5.5,Thriller
Fifi,2022,109,474,6.6,Comedy
Fighter,2022,97,105,5,Action
Filip,2022,125,2590,6.9,Drama
Final Cut,2022,112,5098,6.4,Comedy
Finally Retired!,2022,92,647,5,Comedy
Find Her,2022,86,188,3.8,Mystery
Finnick,2022,85,555,5.7,Adventure
Fire Island,2022,105,14642,6.7,Comedy
Fire of Love,2022,98,15545,7.6,Biography
Fireheart,2022,92,3534,6.2,Adventure
Firestarter,2022,94,24294,4.6,Drama
First Day First Show,2022,119,349,4.9,Comedy
First Love,2022,96,1950,4.8,Romance
First Oscar,2022,114,182,5.6,Drama
First Person Shooter,2022,90,125,3.8,Thriller
Fisherman's Friends: One and All,2022,111,2334,6.4,Comedy
Fistful of Vengeance,2022,96,7814,4.4,Action
Fittest on Earth: Next Gen,2022,118,172,6.5,Documentary
Flashover,2022,114,295,5.3,Action
Flight 811,2022,87,328,4.5,Drama
Flight/Risk,2022,98,889,6.4,Documentary
Flirts,2022,92,259,6.7,Comedy
Floor Number 7,2022,95,158,5.6,Crime
Flow Calle,2022,98,102,8.6,Drama
Flowing,2022,95,521,6,Horror
Flux Gourmet,2022,111,3379,5.8,Comedy
Focus,2022,119,2989,7.6,Action
Fogaréu,2022,100,294,6.6,Drama
Follow Her,2022,92,1490,5.1,Thriller
Follow the Protocol,2022,74,100,6.3,Comedy
Follower,2022,62,308,3.4,Horror
Food and Romance,2022,102,750,6,Comedy
Foodies,2022,89,331,5.7,Comedy
Fools,2022,107,106,5.1,Drama
For Jojo,2022,96,349,4.1,Drama
For Love & Life: No Ordinary Campaign,2022,83,130,8.4,Documentary
For My Country,2022,113,405,6.3,Drama
For Zeko,2022,95,2063,6.3,Adventure
Foreclosure,2022,78,176,2.9,Mystery
Forensic,2022,134,3584,6.3,Crime
Forever,2022,110,274,6.9,Drama
Forever Young,2022,126,1611,6.6,Comedy
Forgiving God,2022,87,454,6.5,Drama
Fortress: Sniper's Eye,2022,87,1740,3,Action
Forty Winks,2022,80,1897,6.5,Comedy
Found Wandering Lost,2022,99,106,6,Drama
Four,2022,118,546,5.6,Comedy
Four Samosas,2022,80,295,5.5,Action
Four to Dinner,2022,105,3970,6.3,Comedy
Four's a Crowd,2022,99,1975,6,Adventure
Fourth of July,2022,90,2323,6.7,Comedy
Fragments of Paradise,2022,98,138,7.5,Documentary
Fragments of the Last Will,2022,134,228,6.8,Drama
Framing Agnes,2022,75,237,6.8,Documentary
Frank and Penelope,2022,112,1031,5.3,Horror
Fratè,2022,85,120,3.9,Comedy
Freddy,2022,124,35143,7.3,Drama
Frederick Douglass: In Five Speeches,2022,58,352,7.7,Documentary
Free Chol Soo Lee,2022,83,472,7.2,Documentary
Free Dead or Alive,2022,106,232,3.6,Action
Free! The Final Stroke Part 2,2022,107,131,6.8,Animation
Freedom Fight,2022,152,885,7.5,Drama
Freedom Uncut,2022,113,806,8.1,Documentary
Freedom on Fire: Ukraine's Fight for Freedom,2022,116,117,7.2,Documentary
Freedom's Path,2022,131,482,6.3,Drama
Freestyle,2022,89,663,6.3,Comedy
Freeze,2022,90,396,3.7,Horror
Fresh,2022,114,83146,6.7,Horror
Friday the 13th Vengeance 2: Bloodlines,2022,108,1717,5.2,Horror
From the Shadows,2022,88,165,4,Horror
Frost,2022,80,467,3.2,Adventure
Fruits Basket: Prelude,2022,88,942,7.7,Animation
Fucking Bornholm,2022,99,618,5.7,Drama
Fugitive: The Curious Case of Carlos Ghosn,2022,95,1518,6.5,Documentary
Full dekning,2022,102,631,6.6,Comedy
Full of Grace,2022,109,646,6.6,Comedy
Fullmetal Alchemist: Final Transmutation,2022,142,1552,5.5,Action
Fullmetal Alchemist: The Revenge of Scar,2022,125,2435,5.4,Action
Funny Pages,2022,86,3940,6.2,Comedy
Furies,2022,109,1583,5.9,Action
Gaalipata 2,2022,151,1581,6,Comedy
Gaalodu,2022,125,2197,5.7,Action
Gabby Giffords Won't Back Down,2022,98,259,7.4,Biography
Gabriel's Rapture: Part Three,2022,132,568,5.9,Romance
Gabriel's Rapture: Part Two,2022,102,658,5.8,Romance
Gaga,2022,112,375,7.4,Comedy
Gajab Thai Gayo !,2022,131,1236,6.7,Comedy
Galaxy Games,2022,84,133,2.6,Fantasy
Galwakdi,2022,130,1154,6.3,Comedy
Game Changer,2022,104,120,5.3,Comedy
Game of Love,2022,91,2067,3.3,Drama
Gamestop: Rise of the Players,2022,94,638,6.1,Documentary
Gandhada Gudi,2022,99,2989,8.9,Adventure
Gandharwa,2022,131,1881,6.9,Action
Gangster Gangaraju,2022,132,619,4.9,Action
Gangubai Kathiawadi,2022,152,63731,7.8,Biography
Gara-Gara Warisan,2022,117,666,7.3,Comedy
Gargi,2022,140,7623,8.1,Drama
Garuda,2022,145,154,7,Drama
Gaslight 2022,2022,85,149,3.7,Thriller
Gasoline Alley,2022,97,3106,3.9,Action
Gatlopp,2022,80,1839,5.9,Comedy
Gatta Kusthi,2022,144,2822,6.5,Comedy
Gehraiyaan,2022,148,44728,5.8,Drama
Gekijouban Isekai Quartet: Another World,2022,112,148,7.1,Animation
Gekijôban Sanjûsai made Dôtei Da to Mahôtsukai ni Nareru rashii,2022,104,725,7.3,Comedy
Gelditasuna ekaitzean,2022,97,120,6.2,Drama
Gendut Siapa Takut?!,2022,100,320,6.1,Comedy
Gentle,2022,92,610,6.3,Drama
Gentleman,2022,123,312,5.7,Action
Geographies of Solitude,2022,103,403,7.4,Documentary
Gerry Anderson: A Life Uncharted,2022,88,171,7.1,Documentary
Get Away If You Can,2022,80,326,3.2,Drama
Get Smart with Money,2022,93,1526,5.8,Documentary
"Get a Life, alright!",2022,75,190,2.7,Comedy
Getting Away with It,2022,67,119,7.1,Comedy
Getting It Back: The Story of Cymande,2022,89,124,7.6,Biography
Geylang,2022,87,141,5.4,Crime
Ghani,2022,151,731,4.5,Sport
Ghiaccio,2022,95,206,6.2,Drama
Ghislaine Maxwell: Filthy Rich,2022,101,3352,6.1,Crime
Ghost Book,2022,113,168,5.7,Adventure
Ghost Night,2022,83,179,6.2,Thriller
Ghost Writer 2,2022,116,229,6.6,Comedy
Ghoster,2022,90,429,3.9,Adventure
Ghosts and the Afterlife,2022,90,914,6.3,Documentary
Ghosts of Hiroshima,2022,79,187,4.6,Horror
Gianluca Vacchi - Mucho Más,2022,71,348,3.8,Documentary
Giantess Battle Attack,2022,60,194,4,Comedy
Gierek,2022,140,837,4.6,Biography
Gigi & Nate,2022,114,2245,6.7,Drama
Gila,2022,111,598,6.5,Romance
Gilly and Keeves: The Special,2022,59,436,8.1,Comedy
Ginna,2022,136,3158,4.5,Comedy
Girl Friday,2022,92,306,4.3,Drama
Girl Gang,2022,98,275,6.5,Documentary
Girl Gone Bad,2022,91,232,4.5,Horror
Girl Picture,2022,100,3185,6.9,Drama
Girl at the Window,2022,85,1212,4.1,Horror
Girl in the Picture,2022,101,23285,7.3,Crime
Girl in the Shed: The Kidnapping of Abby Hernandez,2022,85,946,5.4,Drama
Girl with a Gun,2022,84,197,3.2,Action
"Girl, Taken",2022,100,144,7,Documentary
Girlfriends and Girlfriends,2022,89,420,5.4,Comedy
Give Me Five,2022,112,148,5.2,Comedy
Give Me Pity!,2022,80,185,5.9,Comedy
Give Me an A,2022,100,202,4.7,Comedy
Gladbeck: The Hostage Crisis,2022,91,3188,7.5,Crime
Glamour Girls,2022,125,235,3.5,Drama
Glass Onion,2022,139,470419,7.1,Comedy
Gloriavale: New Zealand's Secret Cult,2022,89,121,6.9,Documentary
Glorious,2022,79,7856,5.6,Horror
Glorious Ashes,2022,117,333,7,Drama
Go Home,2022,84,173,6.9,Drama
God Bless You,2022,120,373,7.6,Comedy
God Forbid,2022,109,2493,6.8,Documentary
God's Country,2022,102,4402,5.6,Thriller
God's Creatures,2022,100,3735,6,Drama
God's Crooked Lines,2022,154,25814,7.1,Drama
God's Petting You,2022,91,260,5.3,Comedy
God's Time,2022,83,187,5,Comedy
"God, Give Me Money",2022,77,401,6.9,Drama
Godfather,2022,157,7821,5.2,Action
Godland,2022,143,8301,7.1,Drama
Gods of Mexico,2022,97,197,7,Documentary
Godse,2022,145,1404,5.7,Action
Godspeed,2022,119,3386,6.5,Action
Gold,2022,165,1883,4.7,Comedy
Gold,2022,97,13255,5.4,Action
Gold Run,2022,117,2971,6.6,Drama
Golden Blood,2022,105,299,4.8,Crime
Golden Delicious,2022,120,571,6.5,Drama
Golden Spider City,2022,87,106,5.8,Action
Golden Years,2022,92,191,6.5,Comedy
GoldenEra,2022,100,372,6.6,Documentary
Goliath,2022,121,2325,6.8,Drama
Golui,2022,123,846,6.9,Drama
Gone in the Night,2022,90,7027,4.9,Mystery
Good Boy,2022,76,4125,5.7,Horror
Good Girl Jane,2022,117,226,5.8,Crime
Good Guy with a Gun,2022,109,187,5.4,Drama
Good Luck Jerry,2022,148,5959,5.5,Comedy
Good Luck Sakhi,2022,130,1673,5.3,Drama
"Good Luck to You, Leo Grande",2022,97,40883,7.2,Comedy
Good Mourning,2022,93,2707,3.1,Comedy
Good Night Oppy,2022,105,5034,7.7,Documentary
Good for Nothing Blues,2022,131,206,7.1,Comedy
GoodBi,2022,91,104,5.1,Horror
Goodbye,2022,130,10173,6.7,Comedy
Goodbye Cruel World,2022,126,114,5.8,Crime
Goodbye Monster,2022,99,293,5.6,Adventure
"Goodbye, Petrushka",2022,100,1612,5.5,Comedy
Goodnight Mommy,2022,92,17238,5.7,Crime
Goodnight Soldier,2022,97,718,4.7,Drama
Gorgeous,2022,151,6207,7.1,Drama
Govinda Naam Mera,2022,131,10800,6.5,Comedy
