subject,age_months,program,vocab
147,120,Control,56.76510327155929
147,132,Control,56.76584696746405
147,144,Control,65.97353485600537
147,156,Control,69.4197593304406
147,168,Control,68.7811745609713
147,180,Control,74.54425448343459
148,120,Intervention,56.67384511574541
148,132,Intervention,60.436736461871384
148,144,Intervention,69.68210908749134
148,156,Intervention,72.35833861919379
148,168,Intervention,82.82754826504272
148,180,Intervention,88.81248041275926
149,120,Intervention,47.306125368842906
149,132,Intervention,52.3870126246063
149,144,Intervention,69.6988419523268
149,156,Intervention,70.30548737422765
149,168,Intervention,76.25498908263957
149,180,Intervention,89.32715264551013
150,120,Control,57.04585400939845
150,132,Control,56.394421447453574
150,144,Control,57.190471302691236
150,156,Control,61.714142640562386
150,168,Control,56.28137605778328
150,180,Control,58.15448580009763
