subject,motivation,study_day,meditated,focus_score
171,59,26,1,64.6
171,59,33,0,59
171,59,40,1,74.1
171,59,47,1,81.6
172,46.5,12,0,40.3
172,46.5,19,0,52.8
172,46.5,26,0,51.6
172,46.5,33,0,60.6
172,46.5,40,0,73.4
172,46.5,47,0,74.6
173,55.9,12,0,46.2
173,55.9,19,1,59.3
173,55.9,26,1,59.1
173,55.9,33,0,63.8
173,55.9,40,0,64.6
173,55.9,47,0,71.6
174,48.4,12,1,40
174,48.4,19,1,49.8
174,48.4,26,1,53
174,48.4,33,0,55.1
174,48.4,40,0,58.6
174,48.4,47,0,61.8
175,58,12,0,35
175,58,19,0,43.8
175,58,26,0,53.4
175,58,33,1,58.1
175,58,40,0,65
175,58,47,0,67.9
176,60.9,12,1,55.1
176,60.9,19,1,62.7
176,60.9,26,0,60.8
176,60.9,33,1,66.8
176,60.9,40,0,64.5
176,60.9,47,1,74.2
177,58.3,12,1,70.1
177,58.3,19,0,64.3
177,58.3,26,0,75.3
177,58.3,33,0,86
177,58.3,40,0,84.8
177,58.3,47,0,101.8
178,47,12,1,45.6
178,47,19,0,38.3
178,47,26,0,30.1
178,47,33,0,36.4
178,47,40,1,38.8
178,47,47,0,33.5
179,68.5,12,1,57
179,68.5,19,1,66
179,68.5,26,0,74.9
179,68.5,33,1,85.7
179,68.5,40,1,89.3
179,68.5,47,0,97.8
180,63,12,0,37.1
180,63,19,1,56.1
180,63,26,0,66.3
180,63,33,0,74.2
180,63,40,1,88.5
180,63,47,1,97.1
181,44.6,12,0,35.2
181,44.6,19,0,32.7
181,44.6,26,0,35.7
181,44.6,33,1,40.5
181,44.6,40,0,41.5
181,44.6,47,1,38.6
182,41.2,12,0,30.7
182,41.2,19,0,35.4
182,41.2,26,0,35.6
182,41.2,33,0,35.9
182,41.2,40,1,37.5
182,41.2,47,0,37
183,68.6,12,0,54
183,68.6,19,0,64.5
183,68.6,26,1,73.5
183,68.6,33,1,84.7
183,68.6,40,1,85.8
183,68.6,47,0,92.5
184,47.3,12,0,48.1
184,47.3,19,0,42.7
184,47.3,26,1,53.7
184,47.3,33,1,52.3
184,47.3,40,0,51.3
184,47.3,47,0,56.2
185,55.9,12,0,45.7
185,55.9,19,0,61
185,55.9,26,0,55.8
185,55.9,33,0,67.1
185,55.9,40,0,74.8
185,55.9,47,0,75.4
186,44.2,12,0,35.9
186,44.2,19,1,43.7
186,44.2,26,0,39.8
186,44.2,33,0,38.8
186,44.2,40,0,46.5
186,44.2,47,0,51.2
187,46.8,12,0,42.4
187,46.8,19,0,49.4
187,46.8,26,1,59
187,46.8,33,0,60.7
187,46.8,40,1,63.3
187,46.8,47,0,66.7
188,46.9,12,0,35.8
188,46.9,19,1,55.8
188,46.9,26,0,55.7
188,46.9,33,0,57.1
188,46.9,40,0,68.9
188,46.9,47,0,80.3
189,43.4,12,0,32.9
189,43.4,19,0,31.8
189,43.4,26,0,29.5
189,43.4,33,0,29.4
189,43.4,40,0,31.2
189,43.4,47,0,36.5
190,37.8,12,0,25.9
190,37.8,19,1,32.7
190,37.8,26,0,29
190,37.8,33,1,26.8
190,37.8,40,0,25.6
190,37.8,47,0,26.8
191,51.1,12,1,44.2
191,51.1,19,0,50.8
191,51.1,26,0,55.4
191,51.1,33,0,60.5
191,51.1,40,0,63.9
191,51.1,47,0,67.3
192,47.7,12,0,31.1
192,47.7,19,0,38.8
192,47.7,26,0,47.8
192,47.7,33,0,47.8
192,47.7,40,0,53.8
192,47.7,47,1,58.7
193,51.6,12,0,46.6
193,51.6,19,1,51.2
193,51.6,26,1,61.8
193,51.6,33,0,56.5
193,51.6,40,0,58.5
193,51.6,47,0,66.6
194,41.4,12,0,34.1
194,41.4,19,0,33.4
194,41.4,26,0,34.8
194,41.4,33,0,37
194,41.4,40,0,33
194,41.4,47,0,40.9
195,37.9,12,1,42.5
195,37.9,19,0,43.4
195,37.9,26,1,41.6
195,37.9,33,0,41.4
195,37.9,40,1,53.5
195,37.9,47,0,40.2
196,49.3,12,0,42.5
196,49.3,19,0,47.1
196,49.3,26,0,51.7
196,49.3,33,0,56.6
196,49.3,40,0,61.2
196,49.3,47,0,65
197,64.6,12,1,53.6
197,64.6,19,0,66.5
197,64.6,26,0,75.8
197,64.6,33,0,81.2
197,64.6,40,0,85.8
197,64.6,47,1,99.4
198,35.6,12,0,24.9
198,35.6,19,0,26.9
198,35.6,26,0,30.2
198,35.6,33,0,27.7
198,35.6,40,0,32
198,35.6,47,0,33.7
199,44.9,12,0,30.6
199,44.9,19,0,40.2
199,44.9,26,0,36.8
199,44.9,33,1,44.5
199,44.9,40,0,44
199,44.9,47,0,46.1
200,52.4,12,0,44.4
200,52.4,19,0,44.1
200,52.4,26,0,46.4
200,52.4,33,0,43.2
200,52.4,40,0,51.6
200,52.4,47,1,48.4
